"@timestamp","kubernetes.pod_name",log
"Jul 3, 2025 @ 06:02:55.306","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T21:02:55.304990013Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.180:39224"",""repo"":""infra"",""after"":""d7840edf4968bf303cc50409cd09f446450e3ea8"",""before"":""a65a311fe70a9763d9121382d48111443cfbae0b"",""commits_count"":1,""commits"":[{""id"":""d7840edf4968bf303cc50409cd09f446450e3ea8"",""added"":[],""modified"":[""kubernetes/_flux/flux-system/gotk-components.yaml"",""kubernetes/_flux/production/flux-system/gotk-components.yaml"",""kubernetes/_flux/staging/flux-system/gotk-components.yaml""],""removed"":[],""message"":""Update dependency fluxcd/flux2 to v2.6.3"",""timestamp"":""2025-07-02T21:02:53Z"",""tree_id"":""f6be5f7df501ba37b1c876aa24be5427a8eac526"",""url"":""https://github.com/piny940/infra/commit/d7840edf4968bf303cc50409cd09f446450e3ea8""}]}"
"Jul 3, 2025 @ 00:46:55.977","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T15:46:55.977222042Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.180:33590"",""repo"":""infra"",""after"":""a0f06e3bce90deae463277e4ab545fc3ac89c706"",""before"":""3914bf9d1f2e87c7eef68451129c430c45c41365"",""commits_count"":1,""commits"":[{""id"":""a0f06e3bce90deae463277e4ab545fc3ac89c706"",""added"":[],""modified"":[""kubernetes/apps/cert-manager/base/helm.yaml""],""removed"":[],""message"":""Update Helm release cert-manager to v1.18.2 (#2849)\n\nCo-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>"",""timestamp"":""2025-07-02T15:46:42Z"",""tree_id"":""08a536572a79cea317ce8695dcf279c43ade662b"",""url"":""https://github.com/piny940/infra/commit/a0f06e3bce90deae463277e4ab545fc3ac89c706""}]}"
"Jul 3, 2025 @ 00:46:44.962","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T15:46:44.961907903Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.180:33590"",""repo"":""infra"",""after"":""0000000000000000000000000000000000000000"",""before"":""8e8be362c9301cf625b8df2069ce514a1a337fd8"",""commits_count"":0,""commits"":[]}"
"Jul 3, 2025 @ 00:46:44.903","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T15:46:44.902904692Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.180:33590"",""repo"":""infra"",""after"":""a0f06e3bce90deae463277e4ab545fc3ac89c706"",""before"":""3914bf9d1f2e87c7eef68451129c430c45c41365"",""commits_count"":1,""commits"":[{""id"":""a0f06e3bce90deae463277e4ab545fc3ac89c706"",""added"":[],""modified"":[""kubernetes/apps/cert-manager/base/helm.yaml""],""removed"":[],""message"":""Update Helm release cert-manager to v1.18.2 (#2849)\n\nCo-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>"",""timestamp"":""2025-07-02T15:46:42Z"",""tree_id"":""08a536572a79cea317ce8695dcf279c43ade662b"",""url"":""https://github.com/piny940/infra/commit/a0f06e3bce90deae463277e4ab545fc3ac89c706""}]}"
"Jul 3, 2025 @ 00:46:00.341","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T15:46:00.339545504Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.180:33590"",""repo"":""infra"",""after"":""8e8be362c9301cf625b8df2069ce514a1a337fd8"",""before"":""0000000000000000000000000000000000000000"",""commits_count"":1,""commits"":[{""id"":""8e8be362c9301cf625b8df2069ce514a1a337fd8"",""added"":[],""modified"":[""kubernetes/apps/cert-manager/base/helm.yaml""],""removed"":[],""message"":""Update Helm release cert-manager to v1.18.2"",""timestamp"":""2025-07-02T15:45:57Z"",""tree_id"":""08a536572a79cea317ce8695dcf279c43ade662b"",""url"":""https://github.com/piny940/infra/commit/8e8be362c9301cf625b8df2069ce514a1a337fd8""}]}"
"Jul 2, 2025 @ 15:09:12.035","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T06:09:12.035071823Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.180:39258"",""repo"":""infra"",""after"":""a65a311fe70a9763d9121382d48111443cfbae0b"",""before"":""b9915990aa607ebd2657bc3f4ba6240c9a31490f"",""commits_count"":1,""commits"":[{""id"":""a65a311fe70a9763d9121382d48111443cfbae0b"",""added"":[],""modified"":[""kubernetes/_flux/flux-system/gotk-components.yaml"",""kubernetes/_flux/production/flux-system/gotk-components.yaml"",""kubernetes/_flux/staging/flux-system/gotk-components.yaml""],""removed"":[],""message"":""Update dependency fluxcd/flux2 to v2.6.3"",""timestamp"":""2025-07-02T06:09:09Z"",""tree_id"":""847e80465b4f282bcfaf8700b418b7d7b55dd836"",""url"":""https://github.com/piny940/infra/commit/a65a311fe70a9763d9121382d48111443cfbae0b""}]}"
"Jul 2, 2025 @ 15:08:37.890","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T06:08:37.889921031Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.180:39258"",""repo"":""infra"",""after"":""3914bf9d1f2e87c7eef68451129c430c45c41365"",""before"":""8243e3976c273011446fb3590a834a7a8c5e767d"",""commits_count"":0,""commits"":[]}"
"Jul 2, 2025 @ 15:08:29.184","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T06:08:29.184403773Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.180:39258"",""repo"":""infra"",""after"":""0000000000000000000000000000000000000000"",""before"":""0ec41b0accaf161fedda268db1d237b50aab17fa"",""commits_count"":0,""commits"":[]}"
"Jul 2, 2025 @ 15:08:27.905","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T06:08:27.904939943Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.180:39258"",""repo"":""infra"",""after"":""3914bf9d1f2e87c7eef68451129c430c45c41365"",""before"":""16a3b6b8ef9bd04baa542464b7a3ff6c9302d267"",""commits_count"":2,""commits"":[{""id"":""0ec41b0accaf161fedda268db1d237b50aab17fa"",""added"":[],""modified"":[""kubernetes/apps/prometheus/base/helm.yaml""],""removed"":[],""message"":""Update Helm release kube-prometheus-stack to v75"",""timestamp"":""2025-07-01T18:59:40Z"",""tree_id"":""e68b4bef00bf216682305eaba2f6159e0b818703"",""url"":""https://github.com/piny940/infra/commit/0ec41b0accaf161fedda268db1d237b50aab17fa""},{""id"":""3914bf9d1f2e87c7eef68451129c430c45c41365"",""added"":[],""modified"":[""kubernetes/apps/prometheus/base/helm.yaml""],""removed"":[],""message"":""Merge pull request #2730 from piny940/renovate/kube-prometheus-stack-75.x\n\nUpdate Helm release kube-prometheus-stack to v75"",""timestamp"":""2025-07-02T15:08:25+09:00"",""tree_id"":""842b800c500ab0b80df6a133df6a9cb6420b585c"",""url"":""https://github.com/piny940/infra/commit/3914bf9d1f2e87c7eef68451129c430c45c41365""}]}"
"Jul 2, 2025 @ 14:40:30.744","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T05:40:30.626311843Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:35928"",""repo"":""infra"",""after"":""8243e3976c273011446fb3590a834a7a8c5e767d"",""before"":""16a3b6b8ef9bd04baa542464b7a3ff6c9302d267"",""commits_count"":1,""commits"":[{""id"":""8243e3976c273011446fb3590a834a7a8c5e767d"",""added"":[],""modified"":[""kubernetes/apps/prometheus/base/helm.yaml""],""removed"":[],""message"":""Merge 0ec41b0accaf161fedda268db1d237b50aab17fa into ce31fc611869ed7e166e4707a441baa2f61a3bdf"",""timestamp"":""2025-07-01T18:59:43Z"",""tree_id"":""e68b4bef00bf216682305eaba2f6159e0b818703"",""url"":""https://github.com/piny940/infra/commit/8243e3976c273011446fb3590a834a7a8c5e767d""}]}"
